,,,,,,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,,Cyclically ,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,,Adjusted,
,,,,,,,,,,,,Price,,Total Return Price,
,,,,  Consumer,,,,,Real,,Real,Earnings,,Earnings,
,S&P,,,Price,,Long,,,Total,,TR,Ratio,,Ratio,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Return,Real,Scaled,P/E10 or,,TR P/E10 or,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Price,Earnings,Earnings,CAPE,,TR CAPE,
1879.01,3.58,0.18,0.32,8.28,1879.04,4.22,112.10,5.69,189.45,9.89,16.71,NA,,NA,
1879.02,3.71,0.18,0.32,8.37,1879.12,4.20,114.85,5.67,194.90,9.96,16.90,NA,,NA,
1879.03,3.65,0.19,0.33,8.28,1879.21,4.19,114.30,5.79,194.77,10.26,17.48,NA,,NA,
1879.04,3.77,0.19,0.33,8.18,1879.29,4.17,119.43,5.91,204.35,10.56,18.07,NA,,NA,
1879.05,3.94,0.19,0.34,8.18,1879.37,4.15,124.81,5.97,214.42,10.75,18.46,NA,,NA,
1879.06,3.96,0.19,0.35,8.09,1879.46,4.14,126.92,6.09,218.91,11.06,19.07,NA,,NA,
1879.07,4.04,0.19,0.35,8.18,1879.54,4.12,127.98,6.07,221.61,11.11,19.24,NA,,NA,
1879.08,4.07,0.19,0.36,8.18,1879.62,4.10,128.93,6.12,224.14,11.30,19.64,NA,,NA,
1879.09,4.22,0.20,0.36,8.47,1879.71,4.09,129.18,5.97,225.43,11.10,19.36,NA,,NA,
1879.1,4.68,0.20,0.37,8.94,1879.79,4.07,135.64,5.70,237.54,10.67,18.69,NA,,NA,
1879.11,4.93,0.20,0.37,9.42,1879.87,4.05,135.67,5.46,238.38,10.30,18.09,NA,,NA,
1879.12,4.92,0.20,0.38,9.70,1879.96,4.04,131.41,5.34,231.69,10.15,17.89,NA,,NA,
1880.01,5.11,0.21,0.39,9.99,1880.04,4.02,132.58,5.32,234.54,10.10,17.86,NA,,NA,
1880.02,5.20,0.21,0.40,9.99,1880.12,3.99,134.92,5.45,239.47,10.33,18.34,NA,,NA,
